version_document;date;page;auteur;texte_surligné;commentaire;Statut;Résolution
0.2;15/06/2026;Global;Marjolaine DAVID;[...] apporter des éléments de réponses pour comprendre ton choix;Justification;Intégré v0.3;Réponses formalisé dans le tableau de suivi
0.1;19/05/2026;Global;Stéphane BALAYRE;Il manque un début de priorisation des indicateurs [...] certains indicateurs sont essentiels et d'autres beaucoup moins;Absence de hiérarchisation;En discussion;Une valeur de priorité est disponible dans les fiches.
0.1;19/05/2026;Global;Stéphane BALAYRE;Un indicateur doit pouvoir être uniforme à l'échelle du territoire [...] ZCO ou UNESCO [...] non transposables ailleurs;Problème de comparabilité territoriale;En discussion;Proposition de distinguer les indicateurs généralisables de ceux relevant du contexte local (catégorie “Contexte” à arbitrer)
0.1;19/05/2026;Global;Stéphane BALAYRE;Il manque un début de schéma d'organisation des indicateurs [...];Absence de structuration globale;Intégré v0.2;Introduction d’une structuration par familles (EPV) et par groupe d’objectif
0.1;19/05/2026;Global;Stéphane BALAYRE;[...] permettrait de voir s'il y a des redondances et [...] mieux expliquer la vision d'ensemble;Manque de vision d’ensemble;Intégré v0.2;Page par famille regroupant les différents groupes + shéma type carte mentale 
0.1;19/05/2026;Global;Stéphane BALAYRE;Attention, certains indicateurs semblent redondants : couvert végétal vs couvert forestier [...];Redondance indicateurs;En discussion;on observe pourtant 2 type de milieu (prairie  et forêt). Un arbitrage est à prévoir pour peut être fusionner l’indicateur.
0.1;19/05/2026;Global;Stéphane BALAYRE;Les fiches me paraissent un peu complexes et ne mettent pas l'accent sur l'objectif [...];Problème de lisibilité;Intégré v0.2;Simplification engagée en v0.2 (structure), à poursuivre (mise en avant objectif)
0.1;19/05/2026;Global;Stéphane BALAYRE;Ne peuvent-elles pas tenir sur 1 seule page ?;Format trop dense;Intégré v0.2;Proposition de version synthétique (1 page)
0.1;19/05/2026;Global;Stéphane BALAYRE;[...] il y a des choses qui peuvent être uniformisées;Manque d’harmonisation;Intégré v0.2;Harmonisation  des objectifs et formulations
0.1;19/05/2026;Global;Stéphane BALAYRE;[...] tous les indicateurs qui touchent à l'UD AEP ont tous le même but [...];Regroupement des objectifs;Intégré v0.2;Regroupement des indicateurs par objectif 
0.2;15/06/2026;Global;Stéphane BALAYRE;[...] remarques à faire sur la priorisation des indicateurs [...];Priorisation toujours insuffisante;En attente;En attente de précision
0.2;15/06/2026;Global;Stéphane BALAYRE;[...] organisation dans un schéma conceptuel cohérent avec les objectifs de l'outil;Besoin de cohérence globale;Intégré v0.2;Livraison d’un schema type « arbre » ou carte mentale
0.2;26/06/26;Global;Stéphane BALAYRE;Remplacer le terme « Pressions » en « Menaces »;;;
;;;;Ajout indicateur type Foncier ;;;
;;;;Ajout indicateur PUD;;;
;;;;Reclassification des indicateurs dans des groupes simplifiés;;;
;;;Stéphane BALAYRE;Ajout d’une menace  « Autre activité »;;;
